lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
DENV-2 Genotype VI,1999-01-01,,,Senegal,,Genotype VI,1999-01-01
DENV-2 Genotype VI,1981-01-01,,,Guinea,,Genotype VI,1981-01-01
DENV-2 Genotype VI,1974-01-01,,,Senegal,,Genotype VI,1974-01-01
DENV-2 Genotype VI,1966-01-01,,,Nigeria,,Genotype VI,1966-01-01
DENV-2 Genotype VI,1966-01-01,,,Nigeria,,Genotype VI,1966-01-01
DENV-2 Genotype VI,1999-01-01,,,Senegal,,Genotype VI,1999-01-01
DENV-2 Genotype VI,1966-08-18,,,Nigeria,,Genotype VI,1966-08-18
DENV-2 Genotype VI,1999-01-01,,,Senegal,,Genotype VI,1999-01-01
DENV-2 Genotype VI,1970-01-01,,,Senegal,,Genotype VI,1970-01-01
DENV-2,2010-01-01,,,Gabon,,Unassigned,2010-01-01
DENV-2,2007-01-01,,,Gabon,,Unassigned,2007-01-01
DENV-2,2010-01-01,,,Gabon,,Unassigned,2010-01-01
DENV-2,2011-01-01,,,Somalia,,Unassigned,2011-01-01
DENV-2,2011-01-01,,,Somalia,,Unassigned,2011-01-01
DENV-2,2011-01-01,,,Somalia,,Unassigned,2011-01-01
DENV-2,2011-01-01,,,Somalia,,Unassigned,2011-01-01
DENV-2,2010-01-01,,,Gabon,,Unassigned,2010-01-01
DENV-2,2010-01-01,,,Gabon,,Unassigned,2010-01-01
DENV-2,2009-01-01,,,Gabon,,Unassigned,2009-01-01
DENV-2,2007-01-01,,,Gabon,,Unassigned,2007-01-01
DENV-2,2008-01-01,,,Gabon,,Unassigned,2008-01-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype II,2014-06-01,,,Tanzania,,Genotype II,2014-06-01
DENV-2 Genotype V,,,,Sudan,,Genotype V,
DENV-2,,,,Uganda,,Unassigned,
DENV-2 Genotype III,2014-01-01,,,Cabo Verde,,Genotype III,2014-01-01
DENV-2 Genotype III,2014-01-01,,,Cabo Verde,,Genotype III,2014-01-01
DENV-2 Genotype III,2014-01-01,,,Cabo Verde,,Genotype III,2014-01-01
DENV-2,2005-01-01,,,Ghana,,Unassigned,2005-01-01
DENV-2,2005-01-01,,,Ghana,,Unassigned,2005-01-01
DENV-2 Genotype II,2014-02-01,,,Tanzania,,Genotype II,2014-02-01
DENV-2 Genotype II,2014-02-01,,,Tanzania,,Genotype II,2014-02-01
DENV-2 Genotype II,2014-02-01,,,Tanzania,,Genotype II,2014-02-01
